Wave,Reference,Predicted,TP,FP,FN,Sensitivity,PPV,F1,Missed,False,Onset MAE,Offset MAE,seed,record_id,sampling_frequency_hz,reference_length,prediction_length
P,8,11,8,3,0,1.0,0.7272727272727273,0.8421052631578948,0,3,1.5,5.0,1,167,250.0,2500,2500
T,8,13,8,5,0,1.0,0.6153846153846154,0.761904761904762,0,5,37.5,17.5,1,167,250.0,2500,2500
P,7,10,7,3,0,1.0,0.7,0.8235294117647058,0,3,8.571428571428571,9.142857142857142,1,168,250.0,2500,2500
T,7,10,7,3,0,1.0,0.7,0.8235294117647058,0,3,32.0,12.0,1,168,250.0,2500,2500
P,6,9,6,3,0,1.0,0.6666666666666666,0.8,0,3,5.333333333333333,4.666666666666667,1,169,250.0,2500,2500
T,6,8,6,2,0,1.0,0.75,0.8571428571428571,0,2,16.0,8.666666666666666,1,169,250.0,2500,2500
P,9,11,7,4,2,0.7777777777777778,0.6363636363636364,0.7000000000000001,2,4,65.14285714285714,51.42857142857143,1,17,250.0,2500,2500
T,9,14,9,5,0,1.0,0.6428571428571429,0.782608695652174,0,5,27.11111111111111,14.666666666666666,1,17,250.0,2500,2500
P,6,8,6,2,0,1.0,0.75,0.8571428571428571,0,2,3.3333333333333335,14.0,1,170,250.0,2500,2500
T,6,7,6,1,0,1.0,0.8571428571428571,0.923076923076923,0,1,14.666666666666666,6.0,1,170,250.0,2500,2500
P,9,14,9,5,0,1.0,0.6428571428571429,0.782608695652174,0,5,28.88888888888889,20.88888888888889,1,171,250.0,2500,2500
T,9,11,9,2,0,1.0,0.8181818181818182,0.9,0,2,36.0,10.222222222222221,1,171,250.0,2500,2500
P,6,8,6,2,0,1.0,0.75,0.8571428571428571,0,2,7.333333333333333,7.333333333333333,1,172,250.0,2500,2500
T,6,7,6,1,0,1.0,0.8571428571428571,0.923076923076923,0,1,13.333333333333334,6.666666666666667,1,172,250.0,2500,2500
P,0,11,0,11,0,0.0,0.0,0.0,0,11,,,1,173,250.0,2500,2500
T,11,15,11,4,0,1.0,0.7333333333333333,0.846153846153846,0,4,20.0,30.90909090909091,1,173,250.0,2500,2500
P,7,9,7,2,0,1.0,0.7777777777777778,0.8750000000000001,0,2,4.0,6.857142857142857,1,174,250.0,2500,2500
T,7,11,7,4,0,1.0,0.6363636363636364,0.7777777777777778,0,4,44.0,21.142857142857142,1,174,250.0,2500,2500
P,9,11,9,2,0,1.0,0.8181818181818182,0.9,0,2,3.111111111111111,12.88888888888889,1,175,250.0,2500,2500
T,9,11,9,2,0,1.0,0.8181818181818182,0.9,0,2,35.55555555555556,8.444444444444445,1,175,250.0,2500,2500
P,7,10,7,3,0,1.0,0.7,0.8235294117647058,0,3,8.0,14.285714285714286,1,176,250.0,2500,2500
T,7,10,7,3,0,1.0,0.7,0.8235294117647058,0,3,8.0,8.571428571428571,1,176,250.0,2500,2500
P,11,11,11,0,0,1.0,1.0,1.0,0,0,4.7272727272727275,12.0,1,177,250.0,2500,2500
T,11,11,11,0,0,1.0,1.0,1.0,0,0,29.09090909090909,13.454545454545455,1,177,250.0,2500,2500
P,11,14,11,3,0,1.0,0.7857142857142857,0.88,0,3,9.090909090909092,10.181818181818182,1,178,250.0,2500,2500
T,11,14,11,3,0,1.0,0.7857142857142857,0.88,0,3,19.272727272727273,6.909090909090909,1,178,250.0,2500,2500
P,7,10,7,3,0,1.0,0.7,0.8235294117647058,0,3,3.4285714285714284,6.857142857142857,1,179,250.0,2500,2500
T,7,12,7,5,0,1.0,0.5833333333333334,0.7368421052631579,0,5,21.142857142857142,9.142857142857142,1,179,250.0,2500,2500
P,10,12,10,2,0,1.0,0.8333333333333334,0.9090909090909091,0,2,4.8,3.6,1,18,250.0,2500,2500
T,10,12,10,2,0,1.0,0.8333333333333334,0.9090909090909091,0,2,33.2,12.4,1,18,250.0,2500,2500
P,9,12,9,3,0,1.0,0.75,0.8571428571428571,0,3,10.666666666666666,7.555555555555555,1,180,250.0,2500,2500
T,9,13,5,8,4,0.5555555555555556,0.38461538461538464,0.4545454545454546,4,8,20.0,112.8,1,180,250.0,2500,2500
P,7,10,7,3,0,1.0,0.7,0.8235294117647058,0,3,16.571428571428573,9.142857142857142,1,181,250.0,2500,2500
T,7,11,7,4,0,1.0,0.6363636363636364,0.7777777777777778,0,4,21.142857142857142,9.142857142857142,1,181,250.0,2500,2500
P,11,13,11,2,0,1.0,0.8461538461538461,0.9166666666666666,0,2,8.0,5.454545454545454,1,182,250.0,2500,2500
T,11,13,11,2,0,1.0,0.8461538461538461,0.9166666666666666,0,2,14.909090909090908,6.545454545454546,1,182,250.0,2500,2500
P,10,11,10,1,0,1.0,0.9090909090909091,0.9523809523809523,0,1,10.8,6.0,1,183,250.0,2500,2500
T,10,24,10,14,0,1.0,0.4166666666666667,0.5882352941176471,0,14,83.6,47.2,1,183,250.0,2500,2500
P,8,10,8,2,0,1.0,0.8,0.888888888888889,0,2,6.5,10.0,1,184,250.0,2500,2500
T,8,10,8,2,0,1.0,0.8,0.888888888888889,0,2,31.5,7.0,1,184,250.0,2500,2500
P,12,15,12,3,0,1.0,0.8,0.888888888888889,0,3,7.333333333333333,5.0,1,185,250.0,2500,2500
T,12,15,12,3,0,1.0,0.8,0.888888888888889,0,3,5.0,8.666666666666666,1,185,250.0,2500,2500
P,10,12,10,2,0,1.0,0.8333333333333334,0.9090909090909091,0,2,39.2,20.8,1,186,250.0,2500,2500
T,10,12,10,2,0,1.0,0.8333333333333334,0.9090909090909091,0,2,18.8,12.0,1,186,250.0,2500,2500
P,8,10,8,2,0,1.0,0.8,0.888888888888889,0,2,7.5,13.0,1,187,250.0,2500,2500
T,8,10,8,2,0,1.0,0.8,0.888888888888889,0,2,31.0,6.0,1,187,250.0,2500,2500
P,13,14,13,1,0,1.0,0.9285714285714286,0.962962962962963,0,1,4.615384615384615,4.3076923076923075,1,188,250.0,2500,2500
T,13,14,13,1,0,1.0,0.9285714285714286,0.962962962962963,0,1,13.23076923076923,7.6923076923076925,1,188,250.0,2500,2500
P,7,10,7,3,0,1.0,0.7,0.8235294117647058,0,3,6.285714285714286,8.571428571428571,1,189,250.0,2500,2500
T,7,7,7,0,0,1.0,1.0,1.0,0,0,18.285714285714285,8.0,1,189,250.0,2500,2500
P,7,10,7,3,0,1.0,0.7,0.8235294117647058,0,3,24.0,10.857142857142858,1,19,250.0,2500,2500
T,7,14,7,7,0,1.0,0.5,0.6666666666666666,0,7,33.142857142857146,20.0,1,19,250.0,2500,2500
P,11,13,11,2,0,1.0,0.8461538461538461,0.9166666666666666,0,2,15.636363636363637,5.454545454545454,1,190,250.0,2500,2500
T,11,14,11,3,0,1.0,0.7857142857142857,0.88,0,3,13.818181818181818,12.363636363636363,1,190,250.0,2500,2500
P,7,10,7,3,0,1.0,0.7,0.8235294117647058,0,3,2.857142857142857,9.142857142857142,1,191,250.0,2500,2500
T,7,10,7,3,0,1.0,0.7,0.8235294117647058,0,3,30.285714285714285,4.0,1,191,250.0,2500,2500
P,7,17,7,10,0,1.0,0.4117647058823529,0.5833333333333334,0,10,33.714285714285715,25.142857142857142,1,192,250.0,2500,2500
T,7,23,7,16,0,1.0,0.30434782608695654,0.4666666666666667,0,16,4.0,20.571428571428573,1,192,250.0,2500,2500
P,8,9,8,1,0,1.0,0.8888888888888888,0.9411764705882353,0,1,4.5,11.0,1,193,250.0,2500,2500
T,8,9,8,1,0,1.0,0.8888888888888888,0.9411764705882353,0,1,18.5,5.5,1,193,250.0,2500,2500
P,7,9,7,2,0,1.0,0.7777777777777778,0.8750000000000001,0,2,12.0,8.571428571428571,1,194,250.0,2500,2500
T,7,19,7,12,0,1.0,0.3684210526315789,0.5384615384615384,0,12,45.142857142857146,10.857142857142858,1,194,250.0,2500,2500
P,8,10,8,2,0,1.0,0.8,0.888888888888889,0,2,4.5,5.0,1,195,250.0,2500,2500
T,8,10,8,2,0,1.0,0.8,0.888888888888889,0,2,17.5,6.0,1,195,250.0,2500,2500
P,9,13,9,4,0,1.0,0.6923076923076923,0.8181818181818181,0,4,14.222222222222221,15.555555555555555,1,196,250.0,2500,2500
T,9,14,9,5,0,1.0,0.6428571428571429,0.782608695652174,0,5,10.222222222222221,9.777777777777779,1,196,250.0,2500,2500
P,10,12,10,2,0,1.0,0.8333333333333334,0.9090909090909091,0,2,4.0,8.4,1,197,250.0,2500,2500
T,10,12,10,2,0,1.0,0.8333333333333334,0.9090909090909091,0,2,7.2,6.8,1,197,250.0,2500,2500
P,7,9,7,2,0,1.0,0.7777777777777778,0.8750000000000001,0,2,2.857142857142857,5.142857142857143,1,198,250.0,2500,2500
T,7,9,7,2,0,1.0,0.7777777777777778,0.8750000000000001,0,2,13.714285714285714,5.142857142857143,1,198,250.0,2500,2500
P,7,9,7,2,0,1.0,0.7777777777777778,0.8750000000000001,0,2,8.571428571428571,4.0,1,199,250.0,2500,2500
T,7,9,7,2,0,1.0,0.7777777777777778,0.8750000000000001,0,2,25.142857142857142,14.285714285714286,1,199,250.0,2500,2500
P,7,11,7,4,0,1.0,0.6363636363636364,0.7777777777777778,0,4,78.85714285714286,22.857142857142858,1,20,250.0,2500,2500
T,7,12,7,5,0,1.0,0.5833333333333334,0.7368421052631579,0,5,32.0,10.857142857142858,1,20,250.0,2500,2500
P,8,10,8,2,0,1.0,0.8,0.888888888888889,0,2,5.5,8.0,1,200,250.0,2500,2500
T,8,10,8,2,0,1.0,0.8,0.888888888888889,0,2,16.5,4.5,1,200,250.0,2500,2500
P,9,11,9,2,0,1.0,0.8181818181818182,0.9,0,2,3.111111111111111,13.333333333333334,1,21,250.0,2500,2500
T,9,8,6,2,3,0.6666666666666666,0.75,0.7058823529411765,3,2,50.666666666666664,41.333333333333336,1,21,250.0,2500,2500
P,10,15,10,5,0,1.0,0.6666666666666666,0.8,0,5,27.6,8.0,1,22,250.0,2500,2500
T,10,11,10,1,0,1.0,0.9090909090909091,0.9523809523809523,0,1,6.8,12.4,1,22,250.0,2500,2500
P,7,9,7,2,0,1.0,0.7777777777777778,0.8750000000000001,0,2,14.285714285714286,6.857142857142857,1,23,250.0,2500,2500
T,7,9,7,2,0,1.0,0.7777777777777778,0.8750000000000001,0,2,8.0,3.4285714285714284,1,23,250.0,2500,2500
P,6,2,1,1,5,0.16666666666666666,0.5,0.25,5,1,60.0,12.0,1,24,250.0,2500,2500
T,6,11,6,5,0,1.0,0.5454545454545454,0.7058823529411764,0,5,39.333333333333336,44.0,1,24,250.0,2500,2500
P,6,9,6,3,0,1.0,0.6666666666666666,0.8,0,3,3.3333333333333335,6.0,1,25,250.0,2500,2500
T,6,9,6,3,0,1.0,0.6666666666666666,0.8,0,3,32.666666666666664,6.666666666666667,1,25,250.0,2500,2500
P,7,10,7,3,0,1.0,0.7,0.8235294117647058,0,3,2.2857142857142856,3.4285714285714284,1,26,250.0,2500,2500
T,7,10,7,3,0,1.0,0.7,0.8235294117647058,0,3,12.571428571428571,12.571428571428571,1,26,250.0,2500,2500
P,6,8,6,2,0,1.0,0.75,0.8571428571428571,0,2,4.666666666666667,6.0,1,27,250.0,2500,2500
T,6,9,6,3,0,1.0,0.6666666666666666,0.8,0,3,28.0,38.0,1,27,250.0,2500,2500
P,7,9,7,2,0,1.0,0.7777777777777778,0.8750000000000001,0,2,4.571428571428571,4.571428571428571,1,28,250.0,2500,2500
